Date,Close,yhat
9/1/2022,277.16,286.49
9/2/2022,270.21,286.19
9/6/2022,274.42,281.13
9/7/2022,283.7,280.32
9/8/2022,289.26,278.02
9/9/2022,299.68,277.72
9/12/2022,304.42,275.32
9/13/2022,292.13,272.66
9/14/2022,302.61,271.85
9/15/2022,303.75,269.55
9/16/2022,303.35,269.25
9/19/2022,309.07,266.85
9/20/2022,308.73,264.19
9/21/2022,300.8,263.38
9/22/2022,288.59,261.08
9/23/2022,275.33,260.78
9/26/2022,276.01,258.38
9/27/2022,282.94,255.72
9/28/2022,287.81,254.91
9/29/2022,268.21,252.61
9/30/2022,265.25,252.31
10/3/2022,242.4,249.91
10/4/2022,249.44,247.25
10/5/2022,240.81,246.44
10/6/2022,238.13,244.14
10/7/2022,223.07,243.84
10/10/2022,222.96,241.44
10/11/2022,216.5,238.78
10/12/2022,217.24,237.98
10/13/2022,221.72,235.67
10/14/2022,204.99,235.37
10/17/2022,219.35,232.97
10/18/2022,220.19,230.31
10/19/2022,222.04,229.51
10/20/2022,207.28,227.20
10/21/2022,214.44,226.90
10/24/2022,211.25,224.50
10/25/2022,222.42,221.84
10/26/2022,224.64,221.04
10/27/2022,225.09,218.73
10/28/2022,228.52,218.43
10/31/2022,227.54,216.03
11/1/2022,227.82,213.37
11/2/2022,214.98,212.57
11/3/2022,215.31,210.26
11/4/2022,207.47,209.96
11/7/2022,197.08,207.56
11/8/2022,191.3,204.90
11/9/2022,177.59,204.10
11/10/2022,190.72,201.79
11/11/2022,195.97,201.49
11/14/2022,190.95,199.09
11/15/2022,194.42,196.43
11/16/2022,186.92,195.63
11/17/2022,183.17,193.32
11/18/2022,180.19,193.02
11/21/2022,167.87,190.62
11/22/2022,169.91,187.98
11/23/2022,183.2,187.19
11/25/2022,182.86,184.61
11/28/2022,182.92,182.25
11/29/2022,180.83,179.61
11/30/2022,194.7,178.82
12/1/2022,194.7,176.52
12/2/2022,194.86,176.24
12/5/2022,182.45,174.17
12/6/2022,179.82,171.62
